date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,style_changes,num_workers,actual_productivity,year,month,day_of_month,productivity_gap,productivity_ratio,overtime_per_worker,incentive_per_worker,idle_time_per_worker,style_changes_per_worker,idle_time_ratio,low_productivity_flag,worker_efficiency
2015-01-01,Quarter1,sweing,Thursday,Team 8,0.8,26.16,1108.0,7080,98,0.0,0,0,59.0,0.940725424,2015,1,1,-0.140725424,1.17590678,120.0,1.6610169491525424,0.0,0.0,0.0,False,0.0006094991862333488
2015-01-01,Quarter1,finishing,Thursday,Team 1,0.75,3.94,1609.1964285714287,960,0,0.0,0,0,8.0,0.8865,2015,1,1,-0.13649999999999995,1.182,120.0,0.0,0.0,0.0,0.0,False,0.028124999999999997
2015-01-01,Quarter1,sweing,Thursday,Team 11,0.8,11.41,968.0,3660,50,0.0,0,0,30.5,0.800570492,2015,1,1,-0.0005704919999999225,1.000713115,120.0,1.639344262295082,0.0,0.0,0.0,False,0.0023004568669990374
2015-01-01,Quarter1,sweing,Thursday,Team 12,0.8,11.41,968.0,3660,50,0.0,0,0,30.5,0.800570492,2015,1,1,-0.0005704919999999225,1.000713115,120.0,1.639344262295082,0.0,0.0,0.0,False,0.0023004568669990374
2015-01-01,Quarter1,sweing,Thursday,Team 6,0.8,25.9,1170.0,1920,50,0.0,0,0,56.0,0.800381944,2015,1,1,-0.0003819439999999119,1.00047743,34.285714285714285,0.8928571428571429,0.0,0.0,0.0,False,0.0005518353171538886
2015-01-01,Quarter1,sweing,Thursday,Team 7,0.8,25.9,984.0,6720,38,0.0,0,0,56.0,0.800125,2015,1,1,-0.00012499999999993072,1.0001562499999999,120.0,0.6785714285714286,0.0,0.0,0.0,False,0.0005516581632653061
2015-01-01,Quarter1,finishing,Thursday,Team 2,0.75,3.94,1326.280701754386,960,0,0.0,0,0,8.0,0.755166667,2015,1,1,-0.005166667000000014,1.0068888893333334,120.0,0.0,0.0,0.0,0.0,False,0.02395833334390863
2015-01-01,Quarter1,sweing,Thursday,Team 3,0.75,28.08,795.0,6900,45,0.0,0,0,57.5,0.753683478,2015,1,1,-0.003683478000000018,1.004911304,120.0,0.782608695652174,0.0,0.0,0.0,False,0.000466792690449647
2015-01-01,Quarter1,sweing,Thursday,Team 2,0.75,19.87,733.0,6000,34,0.0,0,0,55.0,0.753097531,2015,1,1,-0.0030975309999999867,1.0041300413333334,109.0909090909091,0.6181818181818182,0.0,0.0,0.0,False,0.0006891133559042868
2015-01-01,Quarter1,sweing,Thursday,Team 1,0.75,28.08,681.0,6900,45,0.0,0,0,57.5,0.750427826,2015,1,1,-0.00042782600000002,1.0005704346666666,120.0,0.782608695652174,0.0,0.0,0.0,False,0.00046477630744456836
2015-01-01,Quarter1,sweing,Thursday,Team 9,0.7,28.08,872.0,6900,44,0.0,0,0,57.5,0.721126957,2015,1,1,-0.021126957000000002,1.0301813671428572,120.0,0.7652173913043478,0.0,0.0,0.0,False,0.00044662885977951193
2015-01-01,Quarter1,sweing,Thursday,Team 10,0.75,19.31,578.0,6480,45,0.0,0,0,54.0,0.712205247,2015,1,1,0.037794753000000014,0.949606996,120.0,0.8333333333333334,0.0,0.0,0.0,False,0.0006830132602566316
2015-01-01,Quarter1,sweing,Thursday,Team 5,0.8,11.41,668.0,3660,50,0.0,0,0,30.5,0.707045902,2015,1,1,0.0929540980000001,0.8838073774999999,120.0,1.639344262295082,0.0,0.0,0.0,False,0.002031711906438126
2015-01-01,Quarter1,finishing,Thursday,Team 10,0.65,3.94,1528.3333333333333,960,0,0.0,0,0,8.0,0.705916667,2015,1,1,-0.055916666999999975,1.0860256415384615,120.0,0.0,0.0,0.0,0.0,False,0.02239583334390863
2015-01-01,Quarter1,finishing,Thursday,Team 8,0.75,2.9,984.375,960,0,0.0,0,0,8.0,0.676666667,2015,1,1,0.073333333,0.9022222226666666,120.0,0.0,0.0,0.0,0.0,False,0.029166666681034483
2015-01-01,Quarter1,finishing,Thursday,Team 4,0.75,3.94,1218.677966101695,2160,0,0.0,0,0,18.0,0.593055556,2015,1,1,0.15694444399999996,0.7907407413333334,120.0,0.0,0.0,0.0,0.0,False,0.008362317484489566
2015-01-01,Quarter1,finishing,Thursday,Team 7,0.8,2.9,999.5090909090909,960,0,0.0,0,0,8.0,0.540729167,2015,1,1,0.2592708330000001,0.6759114587499999,120.0,0.0,0.0,0.0,0.0,True,0.023307291681034483
2015-01-01,Quarter1,sweing,Thursday,Team 4,0.65,23.69,861.0,7200,0,0.0,0,0,60.0,0.52118,2015,1,1,0.12882000000000005,0.8018153846153846,120.0,0.0,0.0,0.0,0.0,False,0.0003666666666666666
2015-01-01,Quarter1,finishing,Thursday,Team 11,0.7,4.15,968.1355932203389,1440,0,0.0,0,0,12.0,0.436326389,2015,1,1,0.263673611,0.6233234128571429,120.0,0.0,0.0,0.0,0.0,True,0.00876157407630522
2015-01-03,Quarter1,finishing,Saturday,Team 4,0.8,4.15,1218.677966101695,6600,0,0.0,0,0,20.0,0.988024691,2015,1,3,-0.18802469099999997,1.23503086375,330.0,0.0,0.0,0.0,0.0,False,0.011903911939759036
2015-01-03,Quarter1,finishing,Saturday,Team 11,0.75,2.9,968.1355932203389,5640,0,0.0,0,0,17.0,0.987880435,2015,1,3,-0.237880435,1.3171739133333333,331.7647058823529,0.0,0.0,0.0,0.0,False,0.020038142697768765
2015-01-03,Quarter1,finishing,Saturday,Team 9,0.8,4.15,1283.7241379310344,960,0,0.0,0,0,8.0,0.956270833,2015,1,3,-0.156270833,1.19533854125,120.0,0.0,0.0,0.0,0.0,False,0.028803338343373494
